sgg_cd,emd_cd,bun,ji,bd_nm,bd_rgst_pk,inspct_strt,inspct_cmplt
11560,10200,20,1,대승프린스텔,11560-3538,20230818,20240103
11560,10200,20,1,대승프린스텔,11560-3537,20230818,20240103
11560,10200,28,0,지엘 리베라움,11560-100213536,20210301,20210419
11560,10200,30,0,,11560-100233714,20230816,20230918
11560,10200,40,1,창방아파트,11560-3541,20210705,20210809
11560,10200,76,0,스페이스 오피스텔,11560-3545,20230328,20230501
11560,10200,95,0,대익차,11560-100211376,20231018,20231031
11560,10200,95,0,대익차,11560-100211376,20201102,20201208
11560,10200,113,1,여의도씨티아이,11560-100212916,20230512,20230523
11560,10200,113,1,여의도씨티아이,11560-100212916,20201202,20210104
11560,10200,127,0,신한헤스티아,11560-100228504,20210511,20210813
11560,10200,143,3,제이앤에스영등포,11560-100239601,20221108,20221219
11560,10200,144,0,헤렌어반,11560-100199675,20210319,20220527
11560,10300,94,119,리버타워 오피스텔,11560-4231,20230809,20230913
11560,10300,94,119,리버타워 오피스텔,11560-4231,20200813,20210106
11560,10300,328,11,여의도 미르웰 한올림 2차 오피스텔,11560-100247271,20230719,20230828
11560,10300,332,3,밀레니엄시티,11560-100248828,20231012,20231031
11560,10300,333,0,지뗌,11560-4237,20230516,20230522
11560,10400,1,9,소담더블린,11560-100241968,20230207,20230302
11560,10400,2,0,우성타워,11560-100192634,20210330,20210419
11560,10400,2,21,우성타워,11560-100192635,20210301,20210419
11560,10400,3,4,대흥빌딩,11560-4583,20210305,20220527
11560,10400,5,10,,11560-4587,20210923,20211117
11560,10400,7,25,델리타운,11560-4591,20210630,20210813
11560,10400,9,13,에쉐르아이 시네마 쇼핑몰,11560-4594,20201214,20210125
11560,10400,11,3,HOTEL GMS,11560-100231814,20210503,20210621
11560,10400,18,0,영등포케이빌딩,11560-4600,20210225,20210419
11560,10500,103,0,영등포 대성 그랑그루,11560-100204537,20231012,20231109
11560,10500,443,0,영등포 센트럴 푸르지오 시티,11560-100207236,20210325,20220527
11560,10600,18,1,,11560-5420,20230414,20230515
11560,10600,19,1,,11560-5423,20210329,20210419
11560,10600,41,0,,11560-5428,20220804,20221011
11560,10600,81,1,영포복합건물,11560-5433,20220422,20220513
11560,10700,3,2,양우화인텔,11560-5814,20220621,20220726
11560,10700,7,0,TS타워,11560-100227538,20210326,20210518
11560,10800,29,126,포레비떼,11560-6606,20230403,20230421
11560,10800,29,130,근상프리즘아파트,11560-100193514,20230822,20230901
11560,10800,29,130,근상프리즘아파트,11560-100193514,20200908,20201006
11560,10800,94,46,,11560-6206,20220621,20220630
11560,10800,94,49,인따르시아사옥,11560-6627,20230601,20230614
11560,10800,94,51,훼미리하우스117,11560-100201394,20231114,20231219
11560,10800,94,51,훼미리하우스117,11560-100201394,20201126,20201216
11560,10800,94,52,루브르씨티,11560-100252988,20240111,20240227
11560,10800,94,57,은석오피스텔,11560-100194619,20231114,20231207
11560,10800,94,57,은석오피스텔,11560-100194619,20201207,20201230
11560,10800,94,64,영등포 리버텔,11560-6628,20220915,20221011
11560,10800,94,99,휴젠느,11560-100249870,20231123,20231226
11560,10800,206,0,영등포교회,11560-100242269,20230410,20230522
11560,10900,35,1,리마크빌 영등포,11560-100230193,20210517,20211117
11560,10900,42,1,한양아이클래스 오피스텔,11560-100215896,20201214,20210203
11560,10900,51,1,메이준,11560-100206401,20231123,20231226
11560,10900,51,1,메이준,11560-100206401,20201226,20210119
11560,10900,57,0,,11560-6882,20230912,20231010
11560,10900,69,0,한영교회,11560-6849,20201019,20201126
11560,10900,72,0,미소로,11560-6883,20220608,20220708
11560,10900,83,2,우송빌딩,11560-6895,20201215,20201231
11560,10900,86,0,당산역 리버리치 오피스텔,11560-100229660,20220802,20221011
11560,10900,92,0,KnK디지털타워,11560-100205696,20230907,20231010
11560,10900,92,0,KnK디지털타워,11560-100205696,20201105,20201208
11560,11000,10,2,여의도 태영빌딩,11560-7100,20210611,20210709
11560,11000,11,0,여의도순복음교회,11560-6935,20201201,20201224
11560,11000,11,0,여의도순복음교회,11560-6936,20201201,20201224
11560,11000,11,17,여의도 순복음교회 제2교육관,11560-100248120,20230919,20231020
11560,11000,11,17,여의도 순복음교회 제2교육관,11560-100248121,20230919,20231020
11560,11000,12,0,C.C.M.M빌딩,11560-7103,20220425,20220630
11560,11000,12,1,,11560-7104,20230410,20230522
11560,11000,13,0,여의도파라곤,11560-7105,20221121,20221219
11560,11000,13,5,,11560-7107,20230323,20230419
11560,11000,13,16,여의도 플렉시움 오피스텔,11560-7108,20230802,20231024
11560,11000,13,20,프린스텔,11560-7109,20220719,20220804
11560,11000,13,21,맨하탄21리빙텔,11560-7110,20220620,20220726
11560,11000,13,22,KCC파크타운,11560-7111,20230824,20230921
11560,11000,13,24,민족통일 대통령 리빙텔,11560-7112,20230421,20230426
11560,11000,13,25,정우빌딩,11560-7113,20210414,20220527
11560,11000,14,2,,11560-7114,20210512,20220527
11560,11000,14,5,여의도아크로폴리스,11560-7115,20210806,20210927
11560,11000,14,8,,11560-7116,20210914,20211103
11560,11000,14,11,대하빌딩,11560-7117,20210709,20210813
11560,11000,14,13,,11560-7118,20210603,20210628
11560,11000,14,21,엘지여의도에클라트,11560-7119,20220915,20221115
11560,11000,14,24,삼보호정빌딩,11560-7120,20211018,20211201
11560,11000,14,27,,11560-7121,20210628,20210709
11560,11000,14,32,,11560-7122,20210608,20210709
11560,11000,14,33,나이스1사옥,11560-100241915,20230412,20230626
11560,11000,14,35,,11560-7123,20210709,20210813
11560,11000,15,14,여의도 프리베로 오피스텔,11560-7124,20201222,20210126
11560,11000,15,16,,11560-7125,20210625,20210726
11560,11000,15,24,익스콘벤처타워,11560-7126,20211126,20211215
11560,11000,17,0,여의도 the? 아일랜드 파크,11560-7127,20210319,20210419
11560,11000,17,1,,11560-7128,20210601,20210628
11560,11000,17,5,서여의도 비즈니스호텔,11560-100218838,20230831,20230913
11560,11000,17,5,서여의도 비즈니스호텔,11560-100218838,20200908,20201006
11560,11000,17,9,더하우스 소호 여의도 오피스텔,11560-100235888,20221201,20230209
11560,11000,17,20,,11560-7131,20230310,20230418
11560,11000,20,0,,11560-7132,20210302,20210621
11560,11000,23,0,서울 국제금융 센터,11560-100203849,20230924,20231020
11560,11000,23,0,서울 국제금융 센터,11560-100203849,20201016,20201116
11560,11000,23,0,서울 국제금융 센터,11560-100203857,20230924,20231019
11560,11000,23,0,서울 국제금융 센터,11560-100203857,20201016,20201116
11560,11000,23,0,서울 국제금융 센터,11560-100203852,20230924,20231019
11560,11000,23,0,서울 국제금융 센터,11560-100203852,20201016,20201116
11560,11000,23,0,서울 국제금융 센터,11560-100203855,20230920,20231019
11560,11000,23,0,서울 국제금융 센터,11560-100203855,20201016,20201116
11560,11000,23,0,서울 국제금융 센터,11560-100203846,20230924,20231019
11560,11000,23,0,서울 국제금융 센터,11560-100203846,20201016,20201116
11560,11000,23,2,,11560-6996,20210420,20220527
11560,11000,23,3,KTB,11560-6997,20211020,20211103
11560,11000,23,5,,11560-6999,20211014,20211103
11560,11000,23,6,오투타워,11560-7000,20230316,20230817
11560,11000,23,7,,11560-7001,20220628,20220726
11560,11000,23,8,여의도파이낸스타워,11560-7002,20210705,20210813
11560,11000,23,9,현대차증권빌딩,11560-7003,20220610,20220630
11560,11000,23,10,BNK금융타워,11560-7004,20221116,20221213
11560,11000,24,3,유진빌딩,11560-7008,20231116,20231211
11560,11000,24,3,유진빌딩,11560-7008,20201214,20201231
11560,11000,24,4,,11560-100206592,20210525,20210607
11560,11000,25,0,씨티플라자 빌딩,11560-7142,20220623,20220726
11560,11000,25,3,동화빌딩,11560-7143,20230308,20230418
11560,11000,25,4,신송빌딩,11560-7144,20210616,20210701
11560,11000,25,11,(주)유수홀딩스,11560-7013,20210503,20220527
11560,11000,25,12,,11560-7145,20231107,20231226
11560,11000,25,12,,11560-7145,20201203,20201230
11560,11000,26,0,S-TRENUE,11560-100191174,20201208,20201224
11560,11000,26,3,,11560-7146,20220801,20221011
11560,11000,26,4,,11560-7015,20210621,20210726
11560,11000,26,5,대오빌딩,11560-7147,20210628,20220527
11560,11000,27,0,금융감독원,11560-7016,20210903,20211103
11560,11000,27,1,,11560-7018,20220405,20220506
11560,11000,27,3,하나금융투자빌딩,11560-7020,20211001,20211028
11560,11000,28,1,전경련회관,11560-100211517,20230912,20231031
11560,11000,28,1,전경련회관,11560-100211517,20201116,20201210
11560,11000,28,1,전경련회관,11560-100211519,20230912,20231031
11560,11000,28,1,전경련회관,11560-100211519,20201116,20201210
11560,11000,28,1,전경련회관,11560-100211518,20230912,20231031
11560,11000,28,1,전경련회관,11560-100211518,20201116,20201210
11560,11000,28,2,KT여의도지점,11560-7023,20211110,20211206
11560,11000,28,3,여의도파크센터,11560-7156,20201109,20201208
11560,11000,33,0,한국거래소,11560-7028,20210521,20210907
11560,11000,34,1,,11560-7030,20210601,20210621
11560,11000,34,2,,11560-7173,20210611,20220527
11560,11000,34,3,,11560-7031,20210616,20220527
11560,11000,34,7,,11560-7034,20230213,20230417
11560,11000,34,8,신영증권 본관,11560-7174,20220829,20221011
11560,11000,34,10,,11560-7036,20210824,20210927
11560,11000,35,2,,11560-7175,20230309,20230418
11560,11000,35,3,The-K 타워,11560-100241409,20230323,20230420
11560,11000,35,5,,11560-7176,20210806,20210907
11560,11000,36,2,,11560-7178,20231204,20231226
11560,11000,36,2,,11560-7178,20201209,20210115
11560,11000,36,4,,11560-7179,20220727,20220804
11560,11000,37,0,아일렉스 상가,11560-7180,20230803,20230905
11560,11000,37,0,아일렉스 상가,11560-7180,20201216,20210108
11560,11000,43,0,,11560-7210,20230404,20230504
11560,11000,43,1,,11560-7211,20230328,20231101
11560,11000,43,3,,11560-7213,20210630,20210813
11560,11000,44,2,,11560-7216,20230320,20230426
11560,11000,44,3,한국금융IT빌딩,11560-7217,20230313,20230607
11560,11000,44,12,,11560-7218,20230330,20230515
11560,11000,44,13,,11560-7219,20210506,20220527
11560,11000,44,21,중앙빌딩,11560-7222,20210812,20230106
11560,11000,44,23,,11560-7223,20210701,20210709
11560,11000,44,25,정곡빌딩,11560-7224,20210621,20210715
11560,11000,44,32,,11560-7225,20230221,20230522
11560,11000,44,33,,11560-7226,20230328,20230421
11560,11000,44,34,,11560-7227,20230420,20230522
11560,11000,44,35,,11560-7228,20210601,20220527
11560,11000,44,36,센터빌딩,11560-7066,20201112,20201126
11560,11000,44,37,아일렉스타워,11560-7229,20210616,20210715
11560,11000,45,2,금투센터,11560-7230,20220512,20230515
11560,11000,45,2,금투센터,11560-7230,20220512,20220609
11560,11000,45,5,메종리브르오피스텔,11560-7231,20220512,20220609
11560,11000,45,13,포레스텔빌딩,11560-7232,20211124,20220127
11560,11000,45,15,,11560-7233,20230323,20230525
11560,11000,45,20,,11560-7235,20230901,20231005
11560,11000,45,21,ABL타워,11560-7072,20211208,20220119
11560,11000,53,0,,11560-7271,20230405,20230602
11560,11000,53,11,,11560-7273,20231206,20231219
11560,11000,53,11,,11560-7273,20210501,20220527
11560,11000,53,12,,11560-7274,20230223,20230420
11560,11000,54,2,진주상가,11560-7276,20230228,20230424
11560,11000,54,6,,11560-7279,20230227,20230504
11560,11000,55,2,나라키움여의도빌딩,11560-100248213,20230525,20230824
11560,11000,60,0,한화금융센터_63,11560-100190515,20210510,20210621
11560,11000,61,3,,11560-7283,20210601,20210809
11560,11000,61,4,콤비빌딩,11560-7284,20220615,20220630
11560,11000,61,5,리버타워,11560-7285,20221209,20230419
11560,11000,62,0,가톨릭대학교성모병원,11560-7093,20231017,20231122
11560,11000,62,0,가톨릭대학교성모병원,11560-7093,20201119,20210111
11560,11100,7,1,MG신용정보빌딩,11560-100189494,20231102,20231120
11560,11100,7,1,MG신용정보빌딩,11560-100189494,20201201,20201229
11560,11200,15,1,문래역 대우미래사랑3차,11560-8446,20230302,20230418
11560,11200,15,1,문래역 대우미래사랑3차,11560-8447,20230302,20230418
11560,11200,15,1,문래역 대우미래사랑3차,11560-8448,20230302,20230417
11560,11200,15,2,문래역 대우미래사랑3차(B),11560-8449,20230302,20230418
11560,11200,30,2,,11560-8452,20221019,20221213
11560,11200,37,0,하나비즈타워,11560-8453,20220615,20220726
11560,11200,160,0,영등포 WARD,11560-100187753,20210309,20220527
11560,11300,2,7,코레일유통 사옥,11560-100226798,20230824,20230913
11560,11300,2,7,코레일유통 사옥,11560-100226798,20200908,20201110
11560,11300,80,1,리앤나빌리지,11560-9038,20211215,20220119
11560,11300,93,2,하이서울 컨벤션 웨딩홀,11560-100247209,20231128,20231219
11560,11300,270,0,,11560-9040,20211105,20211215
11560,11300,370,5,인곡빌딩,11560-9045,20230828,20230913
11560,11300,558,3,THE PARK 365,11560-9066,20201023,20201130
11560,11300,564,0,당산계룡리슈빌1단지,11560-100217698,20231011,20231114
11560,11300,564,0,당산계룡리슈빌1단지,11560-100217698,20201117,20201204
11560,11300,564,0,당산계룡리슈빌1단지,11560-100217749,20231011,20231114
11560,11300,564,0,당산계룡리슈빌1단지,11560-100217749,20201117,20201204
11560,11300,564,0,당산계룡리슈빌1단지,11560-100217849,20231011,20231114
11560,11300,564,0,당산계룡리슈빌1단지,11560-100217849,20201117,20201208
11560,11300,565,0,당산계룡리슈빌3단지,11560-100219158,20230804,20230905
11560,11300,565,0,당산계룡리슈빌3단지,11560-100219158,20201117,20201126
11560,11300,565,0,당산계룡리슈빌3단지,11560-100219210,20230804,20230905
11560,11300,565,0,당산계룡리슈빌3단지,11560-100219210,20201117,20201126
11560,11300,565,0,당산계룡리슈빌3단지,11560-100219311,20230804,20230905
11560,11300,565,0,당산계룡리슈빌3단지,11560-100219311,20201117,20201126
11560,11300,566,0,당산계룡리슈빌2단지,11560-100217851,20230913,20231109
11560,11300,566,0,당산계룡리슈빌2단지,11560-100217851,20201117,20201208
11560,11300,566,0,당산계룡리슈빌2단지,11560-100217902,20230913,20231110
11560,11300,566,0,당산계룡리슈빌2단지,11560-100217902,20201117,20201208
11560,11300,566,0,당산계룡리슈빌2단지,11560-100218001,20230913,20231109
11560,11300,566,0,당산계룡리슈빌2단지,11560-100218001,20201117,20201208
11560,11400,1,2,코오롱 스타폴리스,11560-9517,20220602,20220630
